FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
12,1261.4,18.06471,1.995678,4.399044,7.99986,97.61560017893,0.8596081895400047,18.10625,4.39375,1.96125,8.13375,18.06875,47.5
12,1262.0,18.12403,2.242047,4.399401,8.99959,97.43540368233714,1.0421218438199986,18.16875,4.3950000000000005,2.205,9.1725,18.13125,50.0
12,1263.9,18.18397,2.488458,4.39958,10.0001,97.22916155524484,1.2538056602599923,18.225,4.3950000000000005,2.450625,10.18125,18.1875,52.5

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
13,1327.0,17.68262,0.2711613,4.400328,0.99942,91.71888462475935,0.3970664168460001,17.725,4.3950000000000005,0.24562499999999998,1.05375,17.69375,41.0
13,1327.7,17.73556,0.5178286,4.399202,1.99915,95.76092807230393,0.38931552671599867,17.78125,4.3950000000000005,0.4875,2.0775,17.7375,41.0
13,1327.8,17.79478,0.7643111,4.399658,2.99927,97.02232825658864,0.40498562639800006,17.837500000000002,4.3950000000000005,0.733125,3.09375,17.8,41.0
13,1329.4,17.85096,1.010701,4.399289,3.99965,97.52595448589038,0.4463668741100051,17.89375,4.3950000000000005,0.980625,4.095,17.85625,42.0
13,1329.3,17.91024,1.257253,4.39964,5.00003,97.69349927834404,0.5193709815200052,17.95625,4.3950000000000005,1.224375,5.1187499999999995,17.91875,43.0
13,1330.5,17.9669,1.503746,4.3992,5.99989,97.69433008791447,0.6229379193999947,18.00625,4.39625,1.47,6.12,17.975,44.5
13,1331.2,18.02571,1.750399,4.399228,6.99988,97.59726094577076,0.7581166656500002,18.0625,4.3950000000000005,1.715625,7.14375,18.0375,46.0
13,1333.5,18.08501,1.996912,4.399143,8.0,97.44967307808533,0.9210294891200022,18.125,4.39375,1.963125,8.15625,18.09375,48.0
13,1333.7,18.14518,2.243535,4.399026,8.99973,97.25050818303161,1.1193001483200078,18.181250000000002,4.3950000000000005,2.2087499999999998,9.15,18.150000000000002,50.5
13,1335.6,18.20794,2.489719,4.399259,10.0001,97.04490225088072,1.3396242429600065,18.25,4.39375,2.4525,10.18125,18.212500000000002,53.0

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
14,1399.8,17.68953,0.2723162,4.400515,0.99942,91.298106309894,0.41918288808600046,17.725,4.39625,0.24562499999999998,1.0725,17.69375,41.0
14,1400.6,17.74531,0.5189205,4.399406,1.99915,95.51135482456324,0.4133326329549991,17.7875,4.3950000000000005,0.49124999999999996,2.07,17.75,41.0
14,1401.5,17.805,0.7656869,4.399316,2.99939,96.78875476489033,0.4377908372599997,17.85,4.39375,0.736875,3.0862499999999997,17.8125,41.5
14,1401.1,17.86423,1.012021,4.399045,3.99965,97.32100105104158,0.4843355745800011,17.90625,4.3950000000000005,0.9824999999999999,4.09125,17.875,42.5
14,1403.5,17.9281,1.258818,4.399832,5.00003,97.47909619259667,0.5689229908400009,17.96875,4.3950000000000005,1.22625,5.1187499999999995,17.931250000000002,43.5
14,1404.9,17.98721,1.505139,4.399364,5.99989,97.49734084237606,0.6775512022300028,18.03125,4.3950000000000005,1.47375,6.123749999999999,17.993750000000002,45.0
14,1405.7,18.05051,1.751794,4.399747,6.99988,97.39704646205489,0.82307408458,18.087500000000002,4.39625,1.7193749999999999,7.1475,18.056250000000002,47.0
14,1406.1,18.11345,1.998109,4.399808,7.99986,97.25137698173876,0.994799439169995,18.15625,4.3950000000000005,1.9649999999999999,8.1525,18.118750000000002,49.0
14,1408.8,18.17704,2.244738,4.399734,8.99959,97.0421307148816,1.2068903064600036,18.212500000000002,4.3950000000000005,2.2087499999999998,9.157499999999999,18.181250000000002,51.5
14,1409.3,18.23997,2.491215,4.39921,10.0001,96.81523566195425,1.447146942549999,18.28125,4.3950000000000005,2.4543749999999998,10.16625,18.25,54.5

